,precision,recall,f1-score,support
0,0.9393939393939394,0.9538461538461539,0.9465648854961831,130.0
1,0.95,0.95,0.9500000000000001,100.0
2,0.9882352941176471,0.9333333333333333,0.96,90.0
3,0.9787234042553191,0.9108910891089109,0.9435897435897436,101.0
4,0.978401727861771,0.9638297872340426,0.9710610932475884,470.0
5,0.9201520912547528,0.9565217391304348,0.937984496124031,253.0
6,0.9171270718232044,0.9540229885057471,0.9352112676056338,174.0
7,0.9688249400479616,0.9373549883990719,0.9528301886792453,431.0
8,0.9285714285714286,0.9497716894977168,0.9390519187358916,219.0
9,0.9613034623217923,0.9812889812889813,0.9711934156378601,481.0
10,0.9768041237113402,0.9717948717948718,0.974293059125964,390.0
11,0.976,0.9606299212598425,0.9682539682539683,254.0
12,0.9617834394904459,0.993421052631579,0.9773462783171522,152.0
accuracy,0.9596302003081664,0.9596302003081664,0.9596302003081664,0.9596302003081664
macro avg,0.9573323786807385,0.9551312766177452,0.9559523319087122,3245.0
weighted avg,0.9600915878415647,0.9596302003081664,0.9596687830113285,3245.0
