,precision,recall,f1-score,support
0,0.6257668711656442,0.7846153846153846,0.6962457337883959,130.0
1,0.8240740740740741,0.89,0.8557692307692307,100.0
2,0.9846153846153847,0.7111111111111111,0.8258064516129032,90.0
3,0.8735632183908046,0.7524752475247525,0.8085106382978724,101.0
4,0.8540772532188842,0.8468085106382979,0.8504273504273505,470.0
5,0.7909836065573771,0.7628458498023716,0.7766599597585514,253.0
6,0.8367346938775511,0.7068965517241379,0.7663551401869159,174.0
7,0.8655256723716381,0.8213457076566125,0.8428571428571429,431.0
8,0.7669902912621359,0.7214611872146118,0.7435294117647059,219.0
9,0.7811965811965812,0.9501039501039501,0.8574108818011258,481.0
10,0.812987012987013,0.8025641025641026,0.807741935483871,390.0
11,0.9067796610169492,0.84251968503937,0.873469387755102,254.0
12,0.9375,0.8881578947368421,0.9121621621621622,152.0
accuracy,0.824653312788906,0.824653312788906,0.824653312788906,0.824653312788906
macro avg,0.8354457169795414,0.8062234755947343,0.8166881097434869,3245.0
weighted avg,0.8303187462667988,0.824653312788906,0.8245488056598914,3245.0
