,precision,recall,f1-score,support
0,0.8833333333333333,0.8153846153846154,0.848,130.0
1,0.8220338983050848,0.97,0.8899082568807339,100.0
2,0.9534883720930233,0.9111111111111111,0.9318181818181819,90.0
3,0.9292929292929293,0.9108910891089109,0.9199999999999999,101.0
4,0.9242424242424242,0.9085106382978724,0.9163090128755366,470.0
5,0.9010989010989011,0.9723320158102767,0.935361216730038,253.0
6,0.9221556886227545,0.8850574712643678,0.903225806451613,174.0
7,0.9519230769230769,0.9187935034802784,0.9350649350649349,431.0
8,0.8691588785046729,0.8493150684931506,0.859122401847575,219.0
9,0.9469387755102041,0.9646569646569647,0.9557157569515964,481.0
10,0.9686684073107049,0.9512820512820512,0.9598965071151357,390.0
11,0.9251968503937008,0.9251968503937008,0.9251968503937008,254.0
12,0.9141104294478528,0.9802631578947368,0.9460317460317461,152.0
accuracy,0.926040061633282,0.926040061633282,0.926040061633282,0.926040061633282
macro avg,0.916280151159897,0.9202149643983104,0.9173577440123686,3245.0
weighted avg,0.9267685575954228,0.926040061633282,0.9258871838340662,3245.0
