,precision,recall,f1-score,support
0,0.967741935483871,0.9230769230769231,0.9448818897637796,130.0
1,0.9587628865979382,0.93,0.9441624365482233,100.0
2,0.978021978021978,0.9888888888888889,0.9834254143646408,90.0
3,0.9504950495049505,0.9504950495049505,0.9504950495049505,101.0
4,0.9517819706498952,0.9659574468085106,0.958817317845829,470.0
5,0.953125,0.9644268774703557,0.9587426326129665,253.0
6,0.9120879120879121,0.9540229885057471,0.9325842696629213,174.0
7,0.9318181818181818,0.951276102088167,0.941446613088404,431.0
8,0.9534883720930233,0.9360730593607306,0.9447004608294931,219.0
9,0.976545842217484,0.9521829521829522,0.9642105263157895,481.0
10,0.9789473684210527,0.9538461538461539,0.9662337662337663,390.0
11,0.9461538461538461,0.968503937007874,0.9571984435797665,254.0
12,0.9738562091503268,0.9802631578947368,0.9770491803278688,152.0
accuracy,0.9559322033898305,0.9559322033898305,0.9559322033898305,0.9559322033898305
macro avg,0.9563712732461893,0.9553087335873838,0.9556883077444922,3245.0
weighted avg,0.9562930664284061,0.9559322033898305,0.9559766003722099,3245.0
