,precision,recall,f1-score,support
0,0.8968253968253969,0.8692307692307693,0.8828125,130.0
1,0.831858407079646,0.94,0.8826291079812206,100.0
2,0.9753086419753086,0.8777777777777778,0.9239766081871346,90.0
3,0.9381443298969072,0.900990099009901,0.9191919191919191,101.0
4,0.8974358974358975,0.8936170212765957,0.8955223880597014,470.0
5,0.8825910931174089,0.8616600790513834,0.872,253.0
6,0.8857142857142857,0.8908045977011494,0.8882521489971347,174.0
7,0.9292682926829269,0.8839907192575406,0.906064209274673,431.0
8,0.9073170731707317,0.8493150684931506,0.8773584905660378,219.0
9,0.8629629629629629,0.9688149688149689,0.9128305582761997,481.0
10,0.9116883116883117,0.9,0.9058064516129032,390.0
11,0.9591836734693877,0.9251968503937008,0.9418837675350701,254.0
12,0.9411764705882353,0.9473684210526315,0.9442622950819671,152.0
accuracy,0.9038520801232666,0.9038520801232666,0.9038520801232666,0.9038520801232666
macro avg,0.9091903720467237,0.9006743363122746,0.9040454188279973,3245.0
weighted avg,0.9054115186334325,0.9038520801232666,0.903805779594609,3245.0
