,precision,recall,f1-score,support
0,0.8740740740740741,0.9076923076923077,0.8905660377358491,130.0
1,0.96,0.96,0.96,100.0
2,0.9885057471264368,0.9555555555555556,0.9717514124293786,90.0
3,0.96875,0.9207920792079208,0.9441624365482234,101.0
4,0.937888198757764,0.9638297872340426,0.950682056663169,470.0
5,0.9307692307692308,0.9565217391304348,0.9434697855750488,253.0
6,0.8631578947368421,0.9425287356321839,0.901098901098901,174.0
7,0.9322429906542056,0.925754060324826,0.9289871944121071,431.0
8,0.9166666666666666,0.9041095890410958,0.9103448275862068,219.0
9,0.968421052631579,0.9563409563409564,0.9623430962343097,481.0
10,0.9683377308707124,0.941025641025641,0.9544863459037711,390.0
11,0.966804979253112,0.9173228346456693,0.9414141414141414,254.0
12,0.9612903225806452,0.9802631578947368,0.9706840390879479,152.0
accuracy,0.9423728813559322,0.9423728813559322,0.9423728813559322,0.9423728813559322
macro avg,0.9413006837016359,0.94090280336349,0.9407684826683886,3245.0
weighted avg,0.9431784294132088,0.9423728813559322,0.9425146740751285,3245.0
