,precision,recall,f1-score,support
0,0.6754966887417219,0.7846153846153846,0.7259786476868327,130.0
1,0.7767857142857143,0.87,0.820754716981132,100.0
2,1.0,0.7555555555555555,0.8607594936708861,90.0
3,0.8735632183908046,0.7524752475247525,0.8085106382978724,101.0
4,0.8207171314741036,0.8765957446808511,0.8477366255144033,470.0
5,0.8207171314741036,0.8142292490118577,0.8174603174603174,253.0
6,0.8493975903614458,0.8103448275862069,0.8294117647058824,174.0
7,0.8610421836228288,0.8051044083526682,0.8321342925659472,431.0
8,0.7607655502392344,0.726027397260274,0.7429906542056074,219.0
9,0.8610567514677103,0.9147609147609148,0.8870967741935484,481.0
10,0.8286445012787724,0.8307692307692308,0.8297055057618439,390.0
11,0.9049586776859504,0.8622047244094488,0.8830645161290324,254.0
12,0.9078947368421053,0.9078947368421053,0.9078947368421053,152.0
accuracy,0.837904468412943,0.837904468412943,0.837904468412943,0.837904468412943
macro avg,0.8416184519895764,0.8238905708745575,0.830269129539647,3245.0
weighted avg,0.840620242382708,0.837904468412943,0.8379333936092022,3245.0
