,precision,recall,f1-score,support
0,0.7928571428571428,0.8538461538461538,0.8222222222222222,130.0
1,0.9263157894736842,0.88,0.9025641025641025,100.0
2,0.9125,0.8111111111111111,0.8588235294117648,90.0
3,0.9655172413793104,0.8316831683168316,0.8936170212765958,101.0
4,0.8809034907597536,0.9127659574468086,0.8965517241379312,470.0
5,0.8576923076923076,0.8814229249011858,0.8693957115009747,253.0
6,0.9125,0.8390804597701149,0.8742514970059879,174.0
7,0.9123222748815166,0.8932714617169374,0.9026963657678782,431.0
8,0.8097345132743363,0.8356164383561644,0.8224719101123596,219.0
9,0.8897795591182365,0.9230769230769231,0.9061224489795919,481.0
10,0.857487922705314,0.9102564102564102,0.8830845771144278,390.0
11,0.9487179487179487,0.8740157480314961,0.9098360655737705,254.0
12,0.9645390070921985,0.8947368421052632,0.9283276450511945,152.0
accuracy,0.887211093990755,0.887211093990755,0.887211093990755,0.887211093990755
macro avg,0.8946820921501346,0.8723756614565693,0.8823049862091387,3245.0
weighted avg,0.8892672875579897,0.887211093990755,0.887453451301326,3245.0
