,precision,recall,f1-score,support
0,0.9389312977099237,0.9461538461538461,0.9425287356321839,130.0
1,0.9690721649484536,0.94,0.9543147208121826,100.0
2,0.9764705882352941,0.9222222222222223,0.9485714285714287,90.0
3,0.9306930693069307,0.9306930693069307,0.9306930693069307,101.0
4,0.9583333333333334,0.9787234042553191,0.968421052631579,470.0
5,0.956,0.9446640316205533,0.9502982107355865,253.0
6,0.9583333333333334,0.9252873563218391,0.9415204678362572,174.0
7,0.9288990825688074,0.9396751740139211,0.9342560553633218,431.0
8,0.8798283261802575,0.9360730593607306,0.9070796460176991,219.0
9,0.9585921325051759,0.9625779625779626,0.9605809128630705,481.0
10,0.9547738693467337,0.9743589743589743,0.9644670050761421,390.0
11,0.9702127659574468,0.8976377952755905,0.9325153374233129,254.0
12,0.972972972972973,0.9473684210526315,0.9599999999999999,152.0
accuracy,0.9488443759630201,0.9488443759630201,0.9488443759630201,0.9488443759630201
macro avg,0.9502394566460511,0.9419565628092708,0.945788203251515,3245.0
weighted avg,0.9493663396150724,0.9488443759630201,0.9488489333907881,3245.0
