,precision,recall,f1-score,support
0,0.875,0.8076923076923077,0.8400000000000001,130.0
1,0.9479166666666666,0.91,0.9285714285714285,100.0
2,0.9302325581395349,0.8888888888888888,0.9090909090909092,90.0
3,0.9052631578947369,0.8514851485148515,0.8775510204081632,101.0
4,0.9036402569593148,0.8978723404255319,0.9007470651013874,470.0
5,0.8745098039215686,0.8814229249011858,0.8779527559055118,253.0
6,0.8586956521739131,0.9080459770114943,0.88268156424581,174.0
7,0.8511111111111112,0.888631090487239,0.8694665153234961,431.0
8,0.861244019138756,0.821917808219178,0.8411214953271028,219.0
9,0.8945233265720081,0.9168399168399168,0.9055441478439424,481.0
10,0.9240837696335078,0.9051282051282051,0.9145077720207253,390.0
11,0.9098039215686274,0.9133858267716536,0.9115913555992141,254.0
12,0.9281045751633987,0.9342105263157895,0.9311475409836065,152.0
accuracy,0.8924499229583975,0.8924499229583975,0.8924499229583975,0.8924499229583975
macro avg,0.8972406783802419,0.886578535476634,0.8915364284939459,3245.0
weighted avg,0.8928600712818604,0.8924499229583975,0.8923934699817742,3245.0
