,precision,recall,f1-score,support
0,0.9583333333333334,0.8846153846153846,0.9199999999999999,130.0
1,0.9142857142857143,0.96,0.9365853658536586,100.0
2,0.9560439560439561,0.9666666666666667,0.9613259668508287,90.0
3,0.96,0.9504950495049505,0.9552238805970149,101.0
4,0.9430379746835443,0.951063829787234,0.9470338983050848,470.0
5,0.934156378600823,0.8972332015810277,0.9153225806451614,253.0
6,0.9418604651162791,0.9310344827586207,0.9364161849710984,174.0
7,0.9072398190045249,0.9303944315545244,0.9186712485681559,431.0
8,0.9136363636363637,0.9178082191780822,0.9157175398633258,219.0
9,0.9369918699186992,0.9584199584199584,0.947584789311408,481.0
10,0.9660574412532638,0.9487179487179487,0.9573091849935318,390.0
11,0.9676113360323887,0.9409448818897638,0.9540918163672655,254.0
12,0.9487179487179487,0.9736842105263158,0.9610389610389611,152.0
accuracy,0.9399075500770416,0.9399075500770416,0.9399075500770416,0.9399075500770416
macro avg,0.9421517385097571,0.9393137127077289,0.9404862628742688,3245.0
weighted avg,0.9402186805324203,0.9399075500770416,0.9398828984401362,3245.0
