,precision,recall,f1-score,support
0,0.8880597014925373,0.9153846153846154,0.9015151515151514,130.0
1,0.96,0.96,0.96,100.0
2,0.9230769230769231,0.9333333333333333,0.9281767955801106,90.0
3,0.93,0.9207920792079208,0.9253731343283582,101.0
4,0.948936170212766,0.948936170212766,0.948936170212766,470.0
5,0.952,0.9407114624505929,0.9463220675944335,253.0
6,0.9415204678362573,0.9252873563218391,0.9333333333333333,174.0
7,0.9311926605504587,0.9419953596287703,0.936562860438293,431.0
8,0.9339622641509434,0.9041095890410958,0.9187935034802783,219.0
9,0.9586776859504132,0.9646569646569647,0.9616580310880829,481.0
10,0.9393939393939394,0.9538461538461539,0.9465648854961831,390.0
11,0.96,0.9448818897637795,0.9523809523809523,254.0
12,0.9536423841059603,0.9473684210526315,0.9504950495049505,152.0
accuracy,0.9432973805855162,0.9432973805855162,0.9432973805855162,0.9432973805855162
macro avg,0.9400355535977075,0.938561799607728,0.9392393796117612,3245.0
weighted avg,0.9433892955040546,0.9432973805855162,0.9432934510955976,3245.0
