,precision,recall,f1-score,support
0,0.9145299145299145,0.823076923076923,0.8663967611336032,130.0
1,0.9393939393939394,0.93,0.9346733668341709,100.0
2,0.9310344827586207,0.9,0.9152542372881356,90.0
3,0.9473684210526315,0.8910891089108911,0.9183673469387755,101.0
4,0.9081632653061225,0.9468085106382979,0.9270833333333334,470.0
5,0.91701244813278,0.8735177865612648,0.8947368421052632,253.0
6,0.8863636363636364,0.896551724137931,0.8914285714285715,174.0
7,0.9124423963133641,0.9187935034802784,0.915606936416185,431.0
8,0.9138755980861244,0.8721461187214612,0.8925233644859814,219.0
9,0.9213709677419355,0.9501039501039501,0.9355168884339815,481.0
10,0.9240506329113924,0.9358974358974359,0.9299363057324842,390.0
11,0.9294117647058824,0.9330708661417323,0.9312377210216111,254.0
12,0.9470198675496688,0.9407894736842105,0.9438943894389439,152.0
accuracy,0.9189522342064715,0.9189522342064715,0.9189522342064715,0.9189522342064715
macro avg,0.9224644103727702,0.908603492411875,0.9151273895839263,3245.0
weighted avg,0.9190607004054536,0.9189522342064715,0.9187018106316894,3245.0
