,precision,recall,f1-score,support
0,0.9495798319327731,0.8692307692307693,0.9076305220883534,130.0
1,1.0,0.94,0.9690721649484536,100.0
2,0.9418604651162791,0.9,0.9204545454545455,90.0
3,0.945054945054945,0.8514851485148515,0.8958333333333333,101.0
4,0.9311064718162839,0.948936170212766,0.9399367755532139,470.0
5,0.9215686274509803,0.9288537549407114,0.9251968503937007,253.0
6,0.9401197604790419,0.9022988505747126,0.9208211143695014,174.0
7,0.9026548672566371,0.9466357308584686,0.9241223103057757,431.0
8,0.8873873873873874,0.8995433789954338,0.8934240362811793,219.0
9,0.948559670781893,0.9584199584199584,0.9534643226473629,481.0
10,0.9562982005141388,0.9538461538461539,0.9550706033376124,390.0
11,0.924901185770751,0.9212598425196851,0.923076923076923,254.0
12,0.9342105263157895,0.9342105263157895,0.9342105263157895,152.0
accuracy,0.9325115562403699,0.9325115562403699,0.9325115562403699,0.9325115562403699
macro avg,0.9371770722982231,0.919593868033023,0.927870309854288,3245.0
weighted avg,0.9329866252518347,0.9325115562403699,0.9324496808406083,3245.0
