,precision,recall,f1-score,support
0,0.9491525423728814,0.8615384615384616,0.903225806451613,130.0
1,0.9791666666666666,0.94,0.9591836734693877,100.0
2,0.9213483146067416,0.9111111111111111,0.9162011173184358,90.0
3,0.978494623655914,0.900990099009901,0.9381443298969072,101.0
4,0.9490445859872612,0.951063829787234,0.9500531349628055,470.0
5,0.951417004048583,0.9288537549407114,0.94,253.0
6,0.930635838150289,0.9252873563218391,0.9279538904899136,174.0
7,0.9139072847682119,0.9605568445475638,0.9366515837104072,431.0
8,0.8982300884955752,0.9269406392694064,0.9123595505617977,219.0
9,0.9395161290322581,0.9688149688149689,0.9539406345957011,481.0
10,0.9583333333333334,0.9435897435897436,0.9509043927648579,390.0
11,0.9603174603174603,0.952755905511811,0.9565217391304348,254.0
12,0.9727891156462585,0.9407894736842105,0.9565217391304347,152.0
accuracy,0.9423728813559322,0.9423728813559322,0.9423728813559322,0.9423728813559322
macro avg,0.9463348451601103,0.9317147837020742,0.9385893532678999,3245.0
weighted avg,0.9429257822602349,0.9423728813559322,0.9423441938673841,3245.0
