,precision,recall,f1-score,support
0,0.8938053097345132,0.7769230769230769,0.831275720164609,130.0
1,0.9134615384615384,0.95,0.9313725490196078,100.0
2,0.8602150537634409,0.8888888888888888,0.8743169398907102,90.0
3,0.8854166666666666,0.8415841584158416,0.8629441624365483,101.0
4,0.9053763440860215,0.8957446808510638,0.9005347593582887,470.0
5,0.8893280632411067,0.8893280632411067,0.8893280632411067,253.0
6,0.9064327485380117,0.8908045977011494,0.8985507246376812,174.0
7,0.8752834467120182,0.8955916473317865,0.8853211009174312,431.0
8,0.8660714285714286,0.8858447488584474,0.8758465011286681,219.0
9,0.9100204498977505,0.9251559251559252,0.9175257731958762,481.0
10,0.9010152284263959,0.9102564102564102,0.9056122448979591,390.0
11,0.9057377049180327,0.8700787401574803,0.8875502008032128,254.0
12,0.879746835443038,0.9144736842105263,0.896774193548387,152.0
accuracy,0.8942989214175655,0.8942989214175655,0.8942989214175655,0.8942989214175655
macro avg,0.8916854475738434,0.887282663230131,0.8889963794800066,3245.0
weighted avg,0.8944360376466516,0.8942989214175655,0.8940825964833128,3245.0
