,precision,recall,f1-score,support
0,0.8968253968253969,0.8692307692307693,0.8828125,130.0
1,0.9574468085106383,0.9,0.9278350515463918,100.0
2,0.7685185185185185,0.9222222222222223,0.8383838383838385,90.0
3,0.9368421052631579,0.8811881188118812,0.9081632653061223,101.0
4,0.9190371991247265,0.8936170212765957,0.9061488673139158,470.0
5,0.8090277777777778,0.9209486166007905,0.8613678373382625,253.0
6,0.8247422680412371,0.9195402298850575,0.8695652173913043,174.0
7,0.9122401847575058,0.9164733178654292,0.914351851851852,431.0
8,0.9086538461538461,0.863013698630137,0.8852459016393442,219.0
9,0.9522776572668112,0.9126819126819127,0.9320594479830148,481.0
10,0.9383033419023136,0.9358974358974359,0.9370988446726572,390.0
11,0.9267241379310345,0.8464566929133859,0.8847736625514404,254.0
12,0.89375,0.9407894736842105,0.9166666666666667,152.0
accuracy,0.9041602465331279,0.9041602465331279,0.9041602465331279,0.9041602465331279
macro avg,0.895722249390228,0.9016968853615251,0.8972671502034468,3245.0
weighted avg,0.9071337032980227,0.9041602465331279,0.904671196254558,3245.0
